Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Componentes del salario bruto anual;Año de referencia;Total
Hombres;Total Nacional;12 Galicia;Salario ordinario;2022;23.868,94
Hombres;Total Nacional;13 Madrid, Comunidad de;Salario bruto;2022;34.113,40
Hombres;Total Nacional;13 Madrid, Comunidad de;Pagos extraordinarios;2022;3.876,54
Hombres;Total Nacional;13 Madrid, Comunidad de;Valoración en especie;2022;354,37
Hombres;Total Nacional;13 Madrid, Comunidad de;Salario ordinario;2022;29.882,49
Hombres;Total Nacional;14 Murcia, Región de;Salario bruto;2022;26.240,66
Hombres;Total Nacional;14 Murcia, Región de;Pagos extraordinarios;2022;2.591,22
Hombres;Total Nacional;14 Murcia, Región de;Valoración en especie;2022;96,26
Hombres;Total Nacional;14 Murcia, Región de;Salario ordinario;2022;23.553,18
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Salario bruto;2022;31.959,85
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Pagos extraordinarios;2022;3.988,72
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Valoración en especie;2022;108,24
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Salario ordinario;2022;27.862,89
Hombres;Total Nacional;16 País Vasco;Salario bruto;2022;35.095,67
Hombres;Total Nacional;16 País Vasco;Pagos extraordinarios;2022;3.874,64
Hombres;Total Nacional;16 País Vasco;Valoración en especie;2022;223,84
Hombres;Total Nacional;16 País Vasco;Salario ordinario;2022;30.997,19
Hombres;Total Nacional;17 Rioja, La;Salario bruto;2022;27.741,60
Hombres;Total Nacional;17 Rioja, La;Pagos extraordinarios;2022;2.920,30
Hombres;Total Nacional;17 Rioja, La;Valoración en especie;2022;72,69
Hombres;Total Nacional;17 Rioja, La;Salario ordinario;2022;24.748,61
Hombres;Ciudades de Ceuta y Melilla;;Salario bruto;2022;28.168,62
Hombres;Ciudades de Ceuta y Melilla;;Pagos extraordinarios;2022;2.463,68
Hombres;Ciudades de Ceuta y Melilla;;Valoración en especie;2022;71,09
Hombres;Ciudades de Ceuta y Melilla;;Salario ordinario;2022;25.633,85
