Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Ambos sexos;49 Transporte terrestre y por tubería;Salario ordinario;2022;22.757,63
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Salario bruto;2022;31.483,52
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Pagos extraordinarios;2022;3.383,89
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Valoración en especie;2022;169,3
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Salario ordinario;2022;27.930,33
Ambos sexos;51 Transporte aéreo;Salario bruto;2022;40.098,11
Ambos sexos;51 Transporte aéreo;Pagos extraordinarios;2022;2.672,16
Ambos sexos;51 Transporte aéreo;Valoración en especie;2022;615,56
Ambos sexos;51 Transporte aéreo;Salario ordinario;2022;36.810,39
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Salario bruto;2022;30.923,57
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Pagos extraordinarios;2022;3.418,8
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Valoración en especie;2022;243,36
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Salario ordinario;2022;27.261,41
Ambos sexos;53 Actividades postales y de correos;Salario bruto;2022;21.695,85
Ambos sexos;53 Actividades postales y de correos;Pagos extraordinarios;2022;2.044,17
Ambos sexos;53 Actividades postales y de correos;Valoración en especie;2022;30,91
Ambos sexos;53 Actividades postales y de correos;Salario ordinario;2022;19.620,77
Ambos sexos;55 Servicios de alojamiento;Salario bruto;2022;22.322,99
Ambos sexos;55 Servicios de alojamiento;Pagos extraordinarios;2022;1.684,2
Ambos sexos;55 Servicios de alojamiento;Valoración en especie;2022;141,33
Ambos sexos;55 Servicios de alojamiento;Salario ordinario;2022;20.497,46
Ambos sexos;56 Servicios de comidas y bebidas;Salario bruto;2022;14.365,07
Ambos sexos;56 Servicios de comidas y bebidas;Pagos extraordinarios;2022;667,99
Ambos sexos;56 Servicios de comidas y bebidas;Valoración en especie;2022;96,35
Ambos sexos;56 Servicios de comidas y bebidas;Salario ordinario;2022;13.600,73
Ambos sexos;58 Edición;Salario bruto;2022;34.925,68
Ambos sexos;58 Edición;Pagos extraordinarios;2022;3.834,03
Ambos sexos;58 Edición;Valoración en especie;2022;416,65
Ambos sexos;58 Edición;Salario ordinario;2022;30.675
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Salario bruto;2022;31.748,38
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Pagos extraordinarios;2022;2.599,56
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Valoración en especie;2022;175,88
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Salario ordinario;2022;28.972,94
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Salario bruto;2022;45.753,51
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Pagos extraordinarios;2022;6.044,83
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Valoración en especie;2022;308,42
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Salario ordinario;2022;39.400,26
Ambos sexos;61 Telecomunicaciones;Salario bruto;2022;42.886,02
Ambos sexos;61 Telecomunicaciones;Pagos extraordinarios;2022;7.058,03
Ambos sexos;61 Telecomunicaciones;Valoración en especie;2022;794,07
Ambos sexos;61 Telecomunicaciones;Salario ordinario;2022;35.033,92
Ambos sexos;62 Programación, consultoría y otras actividades relacionadas con la informática;Salario bruto;2022;37.107,11
Ambos sexos;62 Programación, consultoría y otras actividades relacionadas con la informática;Pagos extraordinarios;2022;3.013,36
Ambos sexos;62 Programación, consultoría y otras actividades relacionadas con la informática;Valoración en especie;2022;461,38
Ambos sexos;62 Programación, consultoría y otras actividades relacionadas con la informática;Salario ordinario;2022;33.632,37
Ambos sexos;63 Servicios de información;Salario bruto;2022;32.663,03
Ambos sexos;63 Servicios de información;Pagos extraordinarios;2022;3.249,73
Ambos sexos;63 Servicios de información;Valoración en especie;2022;280,75
Ambos sexos;63 Servicios de información;Salario ordinario;2022;29.132,55
Ambos sexos;64 Servicios financieros, excepto seguros y fondos de pensiones;Salario bruto;2022;54.514,34
Ambos sexos;64 Servicios financieros, excepto seguros y fondos de pensiones;Pagos extraordinarios;2022;10.049,86
Ambos sexos;64 Servicios financieros, excepto seguros y fondos de pensiones;Valoración en especie;2022;874,96
Ambos sexos;64 Servicios financieros, excepto seguros y fondos de pensiones;Salario ordinario;2022;43.589,52
Ambos sexos;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Salario bruto;2022;43.621,85
Ambos sexos;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Pagos extraordinarios;2022;5.641,65
Ambos sexos;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Valoración en especie;2022;1.117,7
Ambos sexos;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Salario ordinario;2022;36.862,5
Ambos sexos;66 Actividades auxiliares a los servicios financieros y a los seguros;Salario bruto;2022;29.651,16
Ambos sexos;66 Actividades auxiliares a los servicios financieros y a los seguros;Pagos extraordinarios;2022;3.737,54
Ambos sexos;66 Actividades auxiliares a los servicios financieros y a los seguros;Valoración en especie;2022;389,88
Ambos sexos;66 Actividades auxiliares a los servicios financieros y a los seguros;Salario ordinario;2022;25.523,74
Ambos sexos;68 Actividades inmobiliarias;Salario bruto;2022;26.172,9
Ambos sexos;68 Actividades inmobiliarias;Pagos extraordinarios;2022;2.411,55
Ambos sexos;68 Actividades inmobiliarias;Valoración en especie;2022;148,94
Ambos sexos;68 Actividades inmobiliarias;Salario ordinario;2022;23.612,41
Ambos sexos;69 Actividades jurídicas y de contabilidad;Salario bruto;2022;28.457,5
Ambos sexos;69 Actividades jurídicas y de contabilidad;Pagos extraordinarios;2022;3.202,14
Ambos sexos;69 Actividades jurídicas y de contabilidad;Valoración en especie;2022;159,86
Ambos sexos;69 Actividades jurídicas y de contabilidad;Salario ordinario;2022;25.095,5
Ambos sexos;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Salario bruto;2022;31.849,86
Ambos sexos;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Pagos extraordinarios;2022;3.127,8
Ambos sexos;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Valoración en especie;2022;357,41
Ambos sexos;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Salario ordinario;2022;28.364,65
Ambos sexos;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Salario bruto;2022;33.100,42
Ambos sexos;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Pagos extraordinarios;2022;2.819,95
Ambos sexos;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Valoración en especie;2022;231,75
Ambos sexos;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Salario ordinario;2022;30.048,72
Ambos sexos;72 Investigación y desarrollo;Salario bruto;2022;36.366,4
